Expense Date,Expense Account,Vendor Name,Paid Through Account,Amount (INR),Description,GST Claimable (Y/N)
2023-04-03,Meals & Entertainment,,Credit Card Payable - Amex,2500.00,Team Lunch,N
2023-04-08,Office Supplies & Stationery,Premier Office Supplies,Cash - HDFC Bank Current A/c,1800.00,Urgent stationery purchase,Y
2023-04-15,Meals & Entertainment,,Credit Card Payable - Amex,4500.00,Client Lunch Meeting - Delta,N
2023-04-17,Travel Expense - Domestic,,Credit Card Payable - Amex,1200.00,Taxi fare for client meeting (Ola/Uber),Y
2023-04-22,Travel Expense - Domestic,Indian Railways (IRCTC),Credit Card Payable - Amex,8500.00,Train tickets for Pune meeting,Y
2023-04-23,Travel Expense - Domestic,Hotel Taj Pune,Credit Card Payable - Amex,15600.00,Hotel stay in Pune,Y
2023-04-24,Meals & Entertainment,,Credit Card Payable - Amex,6800.00,Dinner with Beta Tech team Pune,N
2023-04-26,Courier & Postage,Local Courier Service,Cash - HDFC Bank Current A/c,850.00,Shipping documents to Alpha,N
2023-04-30,Bank Charges,,Cash - HDFC Bank Current A/c,590.00,Monthly Bank Charges Apr'23 (incl GST),Y
2023-04-30,Interest Expense,,Credit Card Payable - Amex,1250.00,Interest Charge on CC Statement Apr,N
2023-05-02,Software Subscriptions & Licenses,Zoho Corporation,Credit Card Payable - Amex,15500.00,Zoho One Subscription May'23,Y
2023-05-05,Meals & Entertainment,,Cash - HDFC Bank Current A/c,1100.00,Coffee Meeting with prospect,N
2023-05-09,Repairs & Maintenance,Local IT Repair Shop,Cash - HDFC Bank Current A/c,6500.00,Office Printer Repair,Y
2023-05-12,Office Supplies & Stationery,Premier Office Supplies,Credit Card Payable - Amex,3200.00,Quick supply run May,Y
2023-05-14,Staff Welfare Expense,,Credit Card Payable - Amex,4000.00,Office refreshments May,N
2023-05-16,Travel Expense - Domestic,,Credit Card Payable - Amex,800.00,Parking fee MG Road meeting,Y
2023-05-20,Software Subscriptions & Licenses,Microsoft India,Credit Card Payable - Amex,9900.00,Office 365 Subscription May'23,Y
2023-05-23,Meals & Entertainment,,Cash - HDFC Bank Current A/c,2800.00,Team breakfast May,N
2023-05-28,Bank Charges,,Cash - HDFC Bank Current A/c,850.00,NEFT/RTGS Charges May'23 (incl GST),Y
2023-05-31,Interest Expense,,Credit Card Payable - Amex,1400.00,Interest Charge on CC Statement May,N
