Customer Name,Invoice Date,Invoice Number,Due Date,Place of Supply,Item Name,Quantity,Item Price,HSN/SAC
Alpha Solutions Pvt Ltd,2024-04-15,INV-0001,2024-04-30,Maharashtra,Web Development Service,1,50000,998314
Beta Tech Services,2024-04-20,INV-0002,2024-05-05,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Gamma Innovations,2024-05-10,INV-0003,2024-05-25,Delhi,Graphic Design Package,2,15000,998313
Delta Enterprises,2024-05-18,INV-0004,2024-06-02,Gujarat,Laptop Model X,1,65000,847130
Riya Sharma Consulting,2024-06-05,INV-0005,2024-06-20,Maharashtra,Business Consulting Hour,10,3000,998311
Alpha Solutions Pvt Ltd,2024-06-25,INV-0006,2024-07-10,Maharashtra,Cloud Hosting - Annual,1,12000,998315
Beta Tech Services,2024-07-15,INV-0007,2024-07-30,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Sigma Digital,2024-07-22,INV-0008,2024-08-06,Tamil Nadu,Web Development Service,1,50000,998314
Gamma Innovations,2024-08-11,INV-0009,2024-08-26,Delhi,Graphic Design Package,1,15000,998313
Alpha Solutions Pvt Ltd,2024-08-28,INV-0010,2024-09-12,Maharashtra,Business Consulting Hour,5,3000,998311
Delta Enterprises,2024-09-10,INV-0011,2024-09-25,Gujarat,Laptop Model X,2,65000,847130
Beta Tech Services,2024-09-20,INV-0012,2024-10-05,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Riya Sharma Consulting,2024-10-05,INV-0013,2024-10-20,Maharashtra,Business Consulting Hour,8,3000,998311
Sigma Digital,2024-10-18,INV-0014,2024-11-02,Tamil Nadu,Printer Cartridge,5,1200,844399
Alpha Solutions Pvt Ltd,2024-11-12,INV-0015,2024-11-27,Maharashtra,Web Development Service,0.5,50000,998314
Beta Tech Services,2024-11-15,INV-0016,2024-11-30,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Gamma Innovations,2024-11-25,INV-0017,2024-12-10,Delhi,Cloud Hosting - Annual,1,12000,998315
Delta Enterprises,2024-12-02,INV-0018,2024-12-17,Gujarat,Laptop Model X,1,66000,847130
Riya Sharma Consulting,2024-12-10,INV-0019,2024-12-25,Maharashtra,Business Consulting Hour,12,3000,998311
Alpha Solutions Pvt Ltd,2024-12-18,INV-0020,2025-01-02,Maharashtra,Graphic Design Package,1,15000,998313
Beta Tech Services,2025-01-15,INV-0021,2025-01-30,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Sigma Digital,2025-01-20,INV-0022,2025-02-04,Tamil Nadu,Web Development Service,1,55000,998314
Gamma Innovations,2025-01-28,INV-0023,2025-02-12,Delhi,Office Stationery Set,20,500,960810
Alpha Solutions Pvt Ltd,2025-02-05,INV-0024,2025-02-20,Maharashtra,Business Consulting Hour,6,3000,998311
Delta Enterprises,2025-02-12,INV-0025,2025-02-27,Gujarat,Printer Cartridge,10,1200,844399
Beta Tech Services,2025-02-15,INV-0026,2025-03-02,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Riya Sharma Consulting,2025-02-25,INV-0027,2025-03-12,Maharashtra,Graphic Design Package,1,15000,998313
Sigma Digital,2025-03-05,INV-0028,2025-03-20,Tamil Nadu,Business Consulting Hour,15,3000,998311
Alpha Solutions Pvt Ltd,2025-03-10,INV-0029,2025-03-25,Maharashtra,Cloud Hosting - Annual,1,12000,998315
Beta Tech Services,2025-03-15,INV-0030,2025-03-30,Karnataka,IT Support - Monthly Retainer,1,25000,998315
Gamma Innovations,2024-04-25,INV-0031,2024-05-10,Delhi,Business Consulting Hour,5,3000,998311
Delta Enterprises,2024-05-05,INV-0032,2024-05-20,Gujarat,Printer Cartridge,8,1200,844399
Riya Sharma Consulting,2024-05-22,INV-0033,2024-06-06,Maharashtra,Web Development Service,0.5,50000,998314
Sigma Digital,2024-06-12,INV-0034,2024-06-27,Tamil Nadu,Graphic Design Package,1,15000,998313
Alpha Solutions Pvt Ltd,2024-07-01,INV-0035,2024-07-16,Maharashtra,Laptop Model X,1,65000,847130
Beta Tech Services,2024-07-18,INV-0036,2024-08-02,Karnataka,Business Consulting Hour,7,3000,998311
Gamma Innovations,2024-08-05,INV-0037,2024-08-20,Delhi,Cloud Hosting - Annual,1,12000,998315
Delta Enterprises,2024-08-21,INV-0038,2024-09-05,Gujarat,Office Stationery Set,30,500,960810
Riya Sharma Consulting,2024-09-03,INV-0039,2024-09-18,Maharashtra,IT Support - Monthly Retainer,1,25000,998315
Sigma Digital,2024-09-19,INV-0040,2024-10-04,Tamil Nadu,Web Development Service,1,52000,998314
Alpha Solutions Pvt Ltd,2024-10-07,INV-0041,2024-10-22,Maharashtra,Graphic Design Package,2,15000,998313
Beta Tech Services,2024-10-20,INV-0042,2024-11-04,Karnataka,Printer Cartridge,12,1200,844399
Gamma Innovations,2024-11-06,INV-0043,2024-11-21,Delhi,Business Consulting Hour,10,3000,998311
Delta Enterprises,2024-11-18,INV-0044,2024-12-03,Gujarat,Laptop Model X,1,65500,847130
Riya Sharma Consulting,2024-12-04,INV-0045,2024-12-19,Maharashtra,Cloud Hosting - Annual,1,12000,998315
