Customer Name,Invoice #,Invoice Date,Due Date,Place of Supply (State),Item Name,Quantity,Rate,Amount,Invoice Total (Base)
Alpha Solutions Pvt Ltd,INV-2024-001,2023-04-05,2023-05-05,Karnataka,Consulting Hour,15,7500.00,112500.00,112500.00
Beta Tech Services LLP,INV-2024-002,2023-04-06,2023-05-06,Maharashtra,Premium Support Contract,1,20000.00,20000.00,20000.00
Gamma Consulting,INV-2024-003,2023-04-07,2023-05-07,Tamil Nadu,Software License - Brand X,3,25000.00,75000.00,75000.00
Delta Digital Works,INV-2024-004,2023-04-10,2023-05-10,Karnataka,Custom Development Hour,30,10000.00,300000.00,300000.00
Epsilon Systems India,INV-2024-005,2023-04-11,2023-05-11,Haryana,Project Retainer Fee,1,150000.00,150000.00,150000.00
Zeta Innovations,INV-2024-006,2023-04-12,2023-05-12,Telangana,Basic Support Contract,1,8000.00,8000.00,8000.00
Omega Software Ltd,INV-2024-007,2023-04-14,2023-05-14,Karnataka,Consulting Hour,40,7500.00,300000.00,300000.00
Sigma Analytics Co,INV-2024-008,2023-04-15,2023-05-15,Maharashtra,Initial Project Setup,1,50000.00,50000.00,50000.00
Alpha Solutions Pvt Ltd,INV-2024-009,2023-04-18,2023-05-18,Karnataka,Network Switch - Resale,2,18000.00,36000.00,36000.00
Beta Tech Services LLP,INV-2024-010,2023-04-19,2023-05-19,Maharashtra,Consulting Hour,10,7500.00,75000.00,75000.00
Gamma Consulting,INV-2024-011,2023-04-20,2023-05-20,Tamil Nadu,Custom Development Hour,20,10000.00,200000.00,200000.00
Delta Digital Works,INV-2024-012,2023-04-21,2023-05-21,Karnataka,Premium Support Contract,1,20000.00,20000.00,20000.00
Epsilon Systems India,INV-2024-013,2023-04-24,2023-05-24,Haryana,Consulting Hour,25,7500.00,187500.00,187500.00
Zeta Innovations,INV-2024-014,2023-04-25,2023-05-25,Telangana,Software License - Brand X,1,25000.00,25000.00,25000.00
Omega Software Ltd,INV-2024-015,2023-04-26,2023-05-26,Karnataka,Project Retainer Fee,1,150000.00,150000.00,150000.00
Sigma Analytics Co,INV-2024-016,2023-04-28,2023-05-28,Maharashtra,Consulting Hour,35,7500.00,262500.00,262500.00
Alpha Solutions Pvt Ltd,INV-2024-017,2023-05-02,2023-06-01,Karnataka,Basic Support Contract,1,8000.00,8000.00,8000.00
