Payment Number,Date,Vendor Name,Mode,Amount,Paid Through,Reference Number,Bill Number,Bill Amount
PMT-1,2024-04-18,Omega Suppliers,Bank Transfer,110000,ICICI Bank,NEFTOMEGA01,OS-101,110000
PMT-2,2024-04-24,Epsilon Office Needs,Bank Transfer,3500,HDFC Bank,IMPSEON04,EON-B05,3500
PMT-3,2024-05-02,Zeta Hardware Mart,Bank Transfer,4500,ICICI Bank,NEFTZETA05,ZHM-INV-2401,4500
PMT-4,2024-05-16,Anil Kumar Freelancer,Bank Transfer,30000,HDFC Bank,IMPSANIL01,AKF-01,30000
PMT-5,2024-05-28,Omega Suppliers,Bank Transfer,55000,ICICI Bank,NEFTOMEGA02,OS-125,55000
PMT-6,2024-06-20,Epsilon Office Needs,Cheque,7000,HDFC Bank,CQ555111,EON-B21,7000
PMT-7,2024-07-04,Anil Kumar Freelancer,Bank Transfer,8000,ICICI Bank,IMPSANIL02,AKF-02,8000
PMT-8,2024-07-25,Zeta Hardware Mart,Bank Transfer,9000,HDFC Bank,NEFTZETA07,ZHM-INV-2488,9000
PMT-9,2024-08-08,Omega Suppliers,Bank Transfer,165000,ICICI Bank,RTGSOMEGA08,OS-150,165000
PMT-10,2024-08-29,Anil Kumar Freelancer,Bank Transfer,15000,HDFC Bank,IMPSANIL03,AKF-03,15000
PMT-11,2024-09-10,Epsilon Office Needs,Bank Transfer,5250,ICICI Bank,NEFTEON09,EON-B35,5250
PMT-12,2024-09-24,Omega Suppliers,Bank Transfer,55500,HDFC Bank,IMPSOMEGA09,OS-172,55500
PMT-13,2024-10-06,Anil Kumar Freelancer,Bank Transfer,32000,ICICI Bank,NEFTANIL04,AKF-04,32000
PMT-14,2024-10-18,Zeta Hardware Mart,Cheque,7360,HDFC Bank,CQ555222,ZHM-INV-2550,7360
PMT-15,2024-11-01,Epsilon Office Needs,Bank Transfer,9000,ICICI Bank,IMPSEON11,EON-B48,9000
PMT-16,2024-11-19,Omega Suppliers,Bank Transfer,111000,HDFC Bank,NEFTOMEGA11,OS-199,111000
PMT-17,2024-11-29,Anil Kumar Freelancer,Bank Transfer,15000,ICICI Bank,IMPSANIL05,AKF-05,15000
PMT-18,2024-12-12,Epsilon Office Needs,Bank Transfer,3600,HDFC Bank,NEFTEON12,EON-B60,3600
PMT-19,2024-12-18,Zeta Hardware Mart,Cash,5520,Cash on Hand,CashPayZHM12,ZHM-INV-2610,5520
PMT-20,2025-01-01,Omega Suppliers,Bank Transfer,56000,ICICI Bank,IMPSOMEGA01,OS-215,56000
PMT-21,2025-01-20,Anil Kumar Freelancer,Bank Transfer,8500,HDFC Bank,NEFTANIL06,AKF-06,8500
PMT-22,2025-01-29,Epsilon Office Needs,Cheque,7400,ICICI Bank,CQ666333,EON-B72,7400
PMT-23,2025-02-08,Zeta Hardware Mart,Bank Transfer,9300,HDFC Bank,IMPSZETA02,ZHM-INV-2680,9300
PMT-24,2025-02-17,Omega Suppliers,Bank Transfer,112000,ICICI Bank,RTGSOMEGA02,OS-230,112000
PMT-25,2025-02-28,Anil Kumar Freelancer,Bank Transfer,16000,HDFC Bank,NEFTANIL07,AKF-07,16000
PMT-26,2025-03-12,Epsilon Office Needs,Cash,5550,Cash on Hand,CashPayEON03,EON-B85,5550
PMT-27,2025-03-19,Zeta Hardware Mart,Bank Transfer,4650,ICICI Bank,IMPSZETA03,ZHM-INV-2750,4650
PMT-28,2025-03-26,Omega Suppliers,Bank Transfer,56500,HDFC Bank,NEFTOMEGA03,OS-245,56500
PMT-29,2025-04-03,Anil Kumar Freelancer,Bank Transfer,33000,ICICI Bank,IMPSANIL08,AKF-08,33000
PMT-30,2025-04-11,Epsilon Office Needs,Bank Transfer,3700,HDFC Bank,NEFTEON04,EON-B98,3700
PMT-31,2024-05-06,Omega Suppliers,Bank Transfer,9000,ICICI Bank,IMPSOMEGA05,OS-110,9000
PMT-32,2024-05-22,Zeta Hardware Mart,Cheque,4260,HDFC Bank,CQ777444,ZHM-INV-2420,4260
PMT-33,2024-06-03,Epsilon Office Needs,Bank Transfer,55200,ICICI Bank,NEFTEON06,EON-B15,55200
PMT-34,2024-06-25,Anil Kumar Freelancer,Bank Transfer,9000,HDFC Bank,IMPSANIL01B,AKF-01B,9000
PMT-35,2024-07-12,Omega Suppliers,Cash,7100,Cash on Hand,CashPayOS07,OS-138,7100
PMT-36,2024-08-02,Zeta Hardware Mart,Bank Transfer,55800,ICICI Bank,NEFTZETA08,ZHM-INV-2505,55800
PMT-37,2024-08-23,Epsilon Office Needs,Bank Transfer,13650,HDFC Bank,IMPSEON08,EON-B29,13650
PMT-38,2024-09-09,Anil Kumar Freelancer,Bank Transfer,8200,ICICI Bank,NEFTANIL03B,AKF-03B,8200
PMT-39,2024-09-30,Omega Suppliers,Cheque,9150,HDFC Bank,CQ888555,OS-180,9150
PMT-40,2024-10-15,Zeta Hardware Mart,Bank Transfer,9000,ICICI Bank,IMPSZETA10,ZHM-INV-2565,9000
PMT-41,2024-10-28,Epsilon Office Needs,Bank Transfer,55800,HDFC Bank,NEFTEON10,EON-B42,55800
PMT-42,2024-11-11,Anil Kumar Freelancer,Bank Transfer,9500,ICICI Bank,IMPSANIL04B,AKF-04B,9500
PMT-43,2024-11-25,Omega Suppliers,Cash,5475,Cash on Hand,CashPayOS11,OS-205,5475
PMT-44,2024-12-09,Zeta Hardware Mart,Bank Transfer,56000,HDFC Bank,NEFTZETA12,ZHM-INV-2625,56000
PMT-45,2024-12-23,Epsilon Office Needs,Bank Transfer,18500,ICICI Bank,IMPSPEON12,EON-B65,18500
PMT-46,2025-01-06,Anil Kumar Freelancer,Cheque,8800,HDFC Bank,CQ999666,AKF-05B,8800
PMT-47,2025-01-24,Omega Suppliers,Bank Transfer,11160,ICICI Bank,NEFTOMEGA01B,OS-222,11160
PMT-48,2025-02-04,Zeta Hardware Mart,Bank Transfer,11100,HDFC Bank,IMPSZETA02B,ZHM-INV-2700,11100
